customer_number,Recency,Frequency,Monetary,label
3468,6,28,810.96,Potential Loyal Customers
3472,9,95,280.37,Loyal Customers
3497,0,60,650.08,Potential Loyal Customers
3513,6,34,487.04,Potential Loyal Customers
3529,0,61,369.47,Potential Loyal Customers
3530,45,16,278.74,Promising Customers
3541,4,56,507.81,Potential Loyal Customers
3545,13,14,152.97,Potential Loyal Customers
3552,2,54,395.62,Potential Loyal Customers
3555,0,72,379.58,Potential Loyal Customers
3566,0,98,677.35,Loyal Customers
3568,6,14,613.66,Potential Loyal Customers
3570,0,55,1378.81,Champions
3571,0,175,2351.57,At Risk
3579,3,65,792.52,Loyal Customers
3583,0,106,619.83,Loyal Customers
3586,6,35,625.68,Potential Loyal Customers
3587,15,27,870.91,Potential Loyal Customers
3594,0,134,1813.31,Champions
3597,2,162,985.84,Loyal Customers
3605,0,108,932.01,Loyal Customers
3606,0,124,930.78,Loyal Customers
3613,0,87,1414.33,Champions
3617,3,36,447.11,Potential Loyal Customers
3622,2,75,1769.96,Champions
3633,4,8,141.15,Potential Loyal Customers
3636,1,63,1626.97,Champions
3641,1,54,644.57,Potential Loyal Customers
3644,0,100,1416.86,Champions
3647,0,125,1214.24,Loyal Customers
3660,1,94,1540.32,Champions
3663,0,139,1483.3,Champions
3671,13,29,144.81,Potential Loyal Customers
3676,0,110,619.89,Loyal Customers
3679,3,84,331.96,Loyal Customers
3685,6,49,843.36,Potential Loyal Customers
3686,0,213,2224.27,At Risk
3690,1,48,516.62,Potential Loyal Customers
3693,1,51,213.87,Potential Loyal Customers
3695,4,77,529.7,Loyal Customers
3701,3,68,975.57,Loyal Customers
3702,5,30,1231.02,Champions
3711,0,67,873.47,Loyal Customers
3715,0,134,1565.97,Champions
3727,0,203,906.97,At Risk
